,RRI_A,RRI_C,RRI_D,RRI_E,RRI_F,RRI_G,RRI_H,RRI_I,RRI_K,RRI_L,RRI_M,RRI_N,RRI_P,RRI_Q,RRI_R,RRI_S,RRI_T,RRI_V,RRI_W,RRI_Y,type_right,type_left,type
140,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
141,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
142,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
143,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
144,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
145,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
146,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
147,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
148,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
149,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
150,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
151,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
152,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
153,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
154,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
155,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
156,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
157,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
158,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
159,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
160,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
161,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
162,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
163,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
164,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
165,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
166,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
167,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
168,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
169,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
170,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
171,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
172,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
173,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
174,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
175,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
176,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
177,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
178,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
179,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
180,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
181,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
182,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
183,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
184,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
185,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
186,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
187,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
188,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
189,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
190,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
191,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
192,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
193,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
194,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
195,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
196,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
197,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
198,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
199,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
200,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
201,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
202,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
203,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
204,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
